,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
0,The Declaration of Independence of the United States of America,Thomas Jefferson,"United States -- History -- Revolution, 1775-1783 -- Sources",United States. Declaration of Independence,NA,1006,15879,English,1971-12-01
1,The United States Bill of Rights,United States,Civil rights -- United States -- Sources,United States. Constitution. 1st-10th Amendments,NA,239,1557,English,1972-12-01
2,John F. Kennedy's Inaugural Address,John F. Kennedy,United States -- Foreign relations -- 1961-1963,Presidents -- United States -- Inaugural addresses,NA,68,2530,English,1973-11-01
3,Lincoln's Gettysburg Address,Abraham Lincoln,Consecration of cemeteries -- Pennsylvania -- Gettysburg,"Soldiers' National Cemetery (Gettysburg, Pa.)","Lincoln, Abraham, 1809-1865. Gettysburg address",84,1430,English,1973-11-01
4,The United States Constitution,United States,United States -- Politics and government -- 1783-1789 -- Sources,United States. Constitution,NA,312,4758,English,1975-12-01
5,Give Me Liberty or Give Me Death,Patrick Henry,"Speeches, addresses, etc., American",United States -- Politics and government -- 1775-1783 -- Sources,Virginia -- Politics and government -- 1775-1783 -- Sources,148,2283,English,1976-12-01
6,The Mayflower Compact,NA,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources",Pilgrims (New Plymouth Colony),Mayflower Compact (1620),69,1413,English,1977-12-01
7,Abraham Lincoln's Second Inaugural Address,Abraham Lincoln,United States -- Politics and government -- 1861-1865,Presidents -- United States -- Inaugural addresses,NA,48,786,English,1978-12-01
8,Abraham Lincoln's First Inaugural Address,Abraham Lincoln,United States -- Politics and government -- 1861-1865,Presidents -- United States -- Inaugural addresses,NA,80,3711,English,1979-12-01
9,The King James Version of the Bible,NA,Bible,NA,NA,4042,821517,English,1989-08-01
10,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy fiction,Children's stories,Imaginary places -- Juvenile fiction,23108,26473,English,2008-06-27
11,Through the Looking-Glass,Lewis Carroll,Fantasy fiction,Children's stories,Imaginary places -- Juvenile fiction,3504,29632,English,2008-06-25
12,The Hunting of the Snark: An Agony in Eight Fits,Lewis Carroll,"Nonsense verses, English",NA,NA,244,5205,English,2008-06-25
13,The 1990 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.","Geography -- Handbooks, manuals, etc.","Political science -- Handbooks, manuals, etc.",101,240555,English,1991-04-01
14,"Moby-Dick; or, The Whale",Herman Melville,Whaling -- Fiction,Sea stories,Psychological fiction,957,212514,English,1991-05-01
15,Peter Pan,J. M. Barrie,Fantasy literature,Peter Pan (Fictitious character) -- Fiction,Never-Never Land (Imaginary place) -- Fiction,6850,47278,English,2008-06-25
16,The Book of Mormon,Church of Jesus Christ of Latter-day Saints and Smith,Church of Jesus Christ of Latter-day Saints -- Sacred books,Mormon Church -- Sacred books,NA,351,275786,English,2008-06-25
17,The Federalist Papers,"Alexander Hamilton, John Jay, and James Madison",Constitutional history -- United States -- Sources,Constitutional law -- United States,NA,294,196263,English,1991-08-01
18,The Song of Hiawatha,Henry Wadsworth Longfellow,Indians of North America -- Poetry,"Hiawatha, active 15th century -- Poetry",Iroquois Indians -- Kings and rulers -- Poetry,379,32147,English,2004-06-01
19,Paradise Lost,John Milton,Fall of man -- Poetry,Adam (Biblical figure) -- Poetry,Eve (Biblical figure) -- Poetry,1583,80039,English,1991-10-01
20,Aesop's Fables,Aesop,"Fables, Greek -- Translations into English",Aesop's fables -- Translations into English,NA,1588,44041,English,2008-06-25
21,Roget's Thesaurus,Peter Mark Roget,English language -- Synonyms and antonyms,NA,NA,467,197142,English,1991-12-01
22,"Narrative of the Life of Frederick Douglass, an American Slave",Douglass,"Douglass, Frederick, 1818-1895",African American abolitionists -- Biography,Abolitionists -- United States -- Biography,9420,40765,English,2006-01-12
23,O Pioneers!,Willa Cather,Nebraska -- Fiction,Historical fiction,Frontier and pioneer life -- Nebraska -- Fiction,1063,55626,English,2008-06-27
24,The 1991 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.","Geography -- Handbooks, manuals, etc.","Political science -- Handbooks, manuals, etc.",95,251351,English,1992-02-01
25,Paradise Lost,John Milton,Fall of man -- Poetry,Adam (Biblical figure) -- Poetry,Eve (Biblical figure) -- Poetry,2389,80264,English,1992-02-01
26,Far from the Madding Crowd,Thomas Hardy,Didactic fiction,Love stories,Triangles (Interpersonal relations) -- Fiction,211,137184,English,1992-03-01
27,The Fables of Aesop,Aesop,Aesop's fables -- Adaptations,"Fables, Greek -- Adaptations",NA,590,14865,English,1992-03-01
28,The 1990 United States Census,United States. Bureau of the Census,United States -- Population -- Statistics,United States -- Census,Housing -- United States -- Statistics,26,21666,English,1992-04-01
29,"The Bible, King James Version, Complete",NA,Bible,NA,NA,288,821281,English,1992-04-01
30,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles,Tragedies,Antigone (Mythological character) -- Drama,Oedipus (Greek mythological figure) -- Drama,1570,37472,English,2006-03-08
31,Herland,Charlotte Perkins Gilman,Utopias -- Fiction,Women -- Fiction,Utopian fiction,1345,52229,English,2008-06-27
32,The Scarlet Letter,Nathaniel Hawthorne,Adultery -- Fiction,Historical fiction,Revenge -- Fiction,714,83028,English,1992-06-01
33,Zen and the Art of the Internet,Brendan P. Kehoe,Internet,Computer networks,Information networks,54,24870,English,1992-06-01
34,The Time Machine,H. G. Wells,Science fiction,Time travel -- Fiction,Dystopias -- Fiction,8011,32464,English,2004-10-02
35,The War of the Worlds,H. G. Wells,Science fiction,War stories,Martians -- Fiction,6318,60088,English,2004-10-01
36,The 1990 United States Census [2nd],United States. Bureau of the Census,United States -- Population -- Statistics,United States -- Census,Housing -- United States -- Statistics,20,22425,English,1992-08-01
37,"The Jargon File, Version 2.9.10, 01 Jul 1992",Eric S. Raymond and Guy L. Steele,Electronic data processing -- Terminology -- Humor,Computers -- Humor,Computers -- Slang -- Dictionaries,52,168348,English,1992-08-01
38,Hitchhiker's Guide to the Internet,Ed Krol,Internet,Computer networks,NA,68,7492,English,1992-09-01
39,NorthWestNet User Services Internet Resource Guide (NUSIRG),Jonathan Kochmer,Internet,NA,NA,68,62,English,1992-09-01
40,The Legend of Sleepy Hollow,Washington Irving,Ghosts -- Fiction,New York (State) -- History -- 1775-1865 -- Fiction,NA,5038,0,English,2008-06-27
41,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Science fiction,Horror tales,London (England) -- Fiction,1382,25766,English,1992-10-01
42,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Science fiction,Horror tales,London (England) -- Fiction,12479,25645,English,2008-06-27
43,The Song of the Lark,Willa Cather,Musical fiction,Young women -- Fiction,Bildungsromans,209,151119,English,2008-06-27
44,Anne of Green Gables,L. M. Montgomery,Orphans -- Fiction,Islands -- Fiction,Friendship -- Fiction,8325,102536,English,2008-06-27
45,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,Christmas stories,London (England) -- Fiction,Poor families -- Fiction,14523,28693,English,2004-08-11
46,Anne of Avonlea,L. M. Montgomery,Orphans -- Fiction,Islands -- Fiction,Teachers -- Fiction,1640,91098,English,2006-03-08
47,The 1992 CIA World Factbook,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.","Geography -- Handbooks, manuals, etc.","Political science -- Handbooks, manuals, etc.",54,286202,English,1993-01-01
48,Surfing the Internet: An Introduction,Jean Armour Polly,Internet addresses -- Directories,Computer network resources -- Directories,Electronic mail systems -- Directories,48,9023,English,1993-01-01
49,Pi,Scott Hemphill,Mathematics,Pi,NA,80,5668,English,1993-01-01
50,Anne of the Island,L. M. Montgomery,Orphans -- Fiction,Prince Edward Island -- History -- 20th century -- Fiction,Interpersonal relations -- Fiction,1321,76438,English,2006-03-08
51,The Square Root of 2,Stan Kerr,Mathematics,Square root,NA,18,27732,English,1993-02-01
